ID,longDescription,preRequisite,description,Length,bisPath,csPath,govPath,healthPath,humPath,manuPath,stemPath,socSciPath,visPath,dept,credits,minGrade,level
EN213,VIDEO PRODUCTION II,Prerequisite: Video Production I,"Video Production II is a more demanding extension of the Video Production I elective. This course involves students in the creation, development, and presentation of various media/video programs, such as the feature segment, commercial, public service announcement, newscast, mini-documentary, visual story, and short film/video piece. Student-created video content will be produced specifically for broadcast on the school district’s cable channel. Students are further instructed in the production process, with a detailed emphasis on executing the planning, taping and editing of projects at a professional level. Students are given the opportunity to work on projects with state-of-the-art digital video equipment in our TV Studio setting, and they will function in a variety of roles: writer, interviewer, actor, crew, producer, director and editor. This course requires creativity, planning, and persistence, and it requires work outside of the classroom. Students must take Video Production I as a prerequisite, and they must receive permission from the instructor before taking this course.",YR,X,X,,,X,,X,X,X,EN,10,11,1
ELDA,ELD LEVEL A,,"A student in ELD Level A demonstrates an English proficiency level in the range of Entering (Level 1) or Emerging (Level 2) according to the PA English Language Development Standards Indicators. A student at this level has limited ability in understanding and speaking English and has limited or no ability to read and/or write English on grade level. The focus of this class is to develop listening, speaking, reading and writing in both social and academic areas. This course meets 5 periods per week and does not factor into the student’s GPA.",YR,X,X,X,X,X,X,X,X,X,EN,10,9,1
ELDB,ELD LEVEL B,,"A student in ELD Level B demonstrates an English proficiency level in the range of Emerging (Level 2), Developing (Level 3) or Expanding (Level 4) according to the PA English Language Development Standards Indicators. A student at this level understands and speaks English on a limited basis and is unable or has limited ability to read and/or write English on grade level. The focus of this class is to develop listening, speaking, reading and writing in both social and academic areas with expanded expression in written and oral tasks. This course meets 5 periods per week and does not factor into the student’s GPA.",YR,X,X,X,X,X,X,X,X,X,EN,10,9,1
ELDC,ELD LEVEL C,,A student in ELD Level C demonstrates an English proficiency level in the range of Expanding (Level 4) or Bridging (Level 5) according to the PA English Language Development Standards Indicators. A student at this level understands and speaks English but needs support in comprehending specialized content area language and concepts on grade level. The focus of this class is to support student proficiency in English language development related to academic content. This course meets 5 periods per week and does not factor into the student’s GPA.,YR,X,X,X,X,X,X,X,X,X,EN,10,9,1
FC101,APPAREL DESIGN I,No prerequisite,"Apparel Design I offers an opportunity to gain career skills in all facets of the fashion industry, providing students with a fundamental understanding of fibers, fabrics, textile construction and design. Students learn basic pattern making skills, computer aided pattern making and garment construction. Career opportunities in fashion design and industry are explored.",SM,,,,,,,,,,CS,5,10,1
FC102,APPAREL DESIGN II,Prerequisite: Apparel Design I,"Apparel Design II provides an opportunity to do advanced work in the areas of pattern making, computer aided pattern making, and garment construction. Advanced garment techniques include draping design, fitting, couture machine and hand skills, and an introduction to tailoring. Topics included are apparel production and merchandising. Topics of special interest to fashion students may be explored.",SM,,,,,,,,,,CS,5,11,1
FC103,APPAREL DESIGN III,Prerequisite: Apparel Design II,"Apparel Design III allows students to explore their talents and skills within the fashion industry for higher education options and career choices. This course provides an opportunity to gain skills through research and projects in illustration, patternmaking, draping, fashion design, tailoring, merchandising, advanced sewing techniques, apparel marketing and advertising.",SM,,,,,,,,,,CS,5,12,1
FC201,CHEF’S WORKSHOP,No prerequisite,"Chef’s Workshop provides opportunities for students to develop basic skills in nutrition, meal planning, food purchasing, food preparation, regional foods, and consumer topics. Food careers are explored.",SM,,,,,,,,,,CS,5,10,1
HP101,FITNESS AND WELLNESS I,No prerequisite,"Fitness and Wellness I is a requirement for all 9th grade students. This hybrid course will include time in the traditional classroom setting working on wellness concepts across the following topics: health and wellness, fitness and nutrition, mental and emotional health, substance abuse, and human growth and development. In the physical setting, students will work on improving health and skill related components of fitness through a variety of activities and games. Units are designed to provide a sampling of the full range of electives offered throughout the physical education program, including an aquatic experience.",SM,,,,X,,,,,,HP,5,9,1
HP102,FITNESS AND WELLNESS II,No prerequisite,"Fitness and Wellness II is a requirement for all 11th grade students. The classroom portion of this course focuses on the study of human behavior and sexuality. Human behavior consists of a complete study of mental health, from the recognition of basic needs to the understanding of the importance of making positive healthy choices throughout a lifetime. The study of human sexuality includes the reproductive system, dating and courtship, marriage and family living, conception and childbirth, sexual behavior, STI’s, and HIV/AIDS. Additionally, all students will undergo CPR/AED and First Aid training via the American Heart Association. The physical portion of the class is a standards-based program that affords students the opportunity to improve their health and skill-related components of fitness through participation in a broad range of activities.",SM,,,,X,,,,,,HP,5,11,1
HP103,UNIFIED FITNESS AND WELLNESS,Prerequisite: Instructor Approval,"This course combines students of all abilities to participate cooperatively in physical activities including fitness, lifetime activities, and individual and team sports. Students will increase confidence, communication, and leadership skills while working together to ensure success for all participants. This course provides experiences to foster the school's inclusive environment for students of all abilities. Who should sign up for this course? Students interested in working in special education, physical therapy, occupational therapy, child care or who have a love for helping others. This course may be completed with permission from the school counselor and/or IEP team.",SM,,,,X,,,,,,HP,5,9,1
HP201,ADVENTURE EDUCATION,No prerequisite,"Adventure Education is the ultimate experience in social emotional learning (SEL) through a variety of activities and challenges across various environments. In other words, how do you perceive obstacles, solve problems, communicate, set goals, perform tasks, and measure success on an individual and group level? You’ll find those answers and more through a variety of activities that range from low intensity and risk to higher levels of intensity and risk as the group builds relationships, trust, confidence, and skill. Don’t be misled, there is a physical component to the course and “various environments” could include aquatic activities and challenges!",SM,,,,X,,,,,,HP,5,10,1
HP202,AQUATIC ACTIVITIES,Prerequisite: Swimming proficiency,"Any student who is a proficient swimmer and wants to explore various activities and games while also improving fitness levels in the aquatic setting should enroll. Water volleyball, basketball, and polo are some of the games you’ll enjoy. Adventure-based water activities such as team building, relay races, and the use of masks, fins, and snorkels will be employed. Water safety and rescue techniques as well as basic swimming/biathlon training will form the foundation of the course.",SM,,,,X,,,,,,HP,5,10,1
HP203,INTRODUCTION TO EXERCISE SCIENCE,No prerequisite,"This elective is appropriate for students interested in health and human services careers. Course topics include: organization of the body, the skeletal system, articulations and skeletal muscles, the blood, the cardiovascular system, and the respiratory system. Principles of training (energy systems) will be explored, so there is a physical fitness component to the class. Students interested in such vocations as Physical Therapy, Personal Training, Nursing, Medicine (MD or PA), Athletic Training, Physical Education, Occupational Therapy, etc. are strongly encouraged to enroll.",SM,,,,X,,,,,,HP,5,10,1
HP204,LIFEGUARDING,No prerequisite,"American Red Cross Lifeguard Certification - Students will gain knowledge and skills needed to prevent and respond quickly to aquatic emergencies and injuries, prevent drownings, and promote facility safety. Students will be able to demonstrate rescue skills, providing care and victim assessment for both breathing and cardiac emergencies, first aid, and caring for head, neck, and back injuries. Students must be 15 years old by the completion of the course. If successful in completing the course, students will be certified in Lifeguarding, CPR, and AED skills, and will be eligible to apply for lifeguarding jobs. The American Red Cross requires students to successfully complete the following skills challenges by the conclusion of the course:
• 300-yard continuous swim using freestyle 
• Tread water for 2 minutes using only legs
• Complete a combination of skills within 1 minute and 40 seconds, which includes the combination of a 20-yard swim using freestyle or breaststroke, a surface dive to a depth of 7-10 feet, retrieval of a 10-pound object, return to the surface, and 20-yard swim back to the starting point.
There is a $38.00 American Red Cross fee which covers the cost of the certificates.",SM,,,,X,,,,,,HP,5,9,1
HP205,LIFETIME SPORTS & ACTIVITIES,No prerequisite,"Lifetime Sports & Activities will enable students to engage in a variety of lifetime sports and activities. The main focus is on the development of skills, game strategy, rules, etiquette, and safety precautions for the following: Tennis, Ping-pong, Badminton, Volleyball, PickleBall, Golf, and Disc Golf. Other activities may include ""backyard"" activities such as bocce ball, Kan Jam, Frisbee, corn-hole, and fitness walking/hiking. If there’s time, recreational swimming is an option.",SM,,,,X,,,,,,HP,5,10,1
HP206,OPTIMAL WELLNESS,No prerequisite,"This course is designed to explore all aspects of the wellness continuum and empower individuals to take a proactive approach to overall health and wellness for a lifetime. Discover a world of alternative, complementary, and/or integrative medical systems and healing practices from a consumer, personal, and practitioner's viewpoint. There is a physical component of the course focused on the practical application of concepts, most importantly a high level of general fitness.",SM,,,,X,,,,,,HP,5,11,1
HP207,PERSONAL FITNESS,No prerequisites,"Personal Fitness is designed to equip students with the knowledge and skills necessary for maintaining an optimal level of fitness for a lifetime. The ultimate goal is finding new and exciting ways to increase heart rate. Circuit training, spin bikes, Zumba, dance, and pilates are just a few of the activities you will experience in this course. The focus is on the individual discovering their likes and dislikes regarding cardiovascular activities so personal fitness goals can be set and met in the way the individual prefers.",SM,,,,X,,,,,,HP,5,9,1
HP208,STRENGTH & CONDITIONING,No prerequisites,"The course provides an opportunity for development of strength and conditioning for various sports and fitness related activities. Free weights, exercise machines, and conditioning activities will be incorporated to promote improvement in strength, endurance, balance, agility, and speed. Proper technique, safety precautions, and proper application of the Principles of Training will be emphasized. A plan to achieve goals will be developed and implemented during this course.",SM,,,,X,,,,,,HP,5,9,1
HP209,TEAM SPORTS AND COMPETITIVE GAMES,No prerequisite,"The purpose of this elective course is to develop the physical, social, and emotional skills necessary to be competent in many forms of movement in a team or group setting. The integration of fitness concepts throughout gameplay is critical to the success of this course. Students will have the opportunity to learn the fundamentals of a variety of fall, winter, and spring team sports and activities. Emphasis will be placed on the basic skills, rules, strategies, scorekeeping, and sportsmanship.",SM,,,,X,,,,,,HP,5,10,1
HP210,ULTIMATE PHYSICAL EDUCATION,Prerequisite: Permission from a Physical Education staff member.,"Ultimate Physical Education is the combination of the full range of electives offered throughout the physical education program at an intensified level. Students looking to challenge themselves and others across every category of activity and environment (water included) in pursuit of elite fitness levels should consider this elective. Emphasis will be placed on learning and refining skills with an increased level of competitiveness across both health and skill-related components of fitness. Students will not only learn to train and play like an athlete but will test their limits on a regular basis through the Work Out of the Day, races, adventure-based challenges, and tournaments. This is a perfect fit for students looking to pursue a career in athletic training, physical education, physical therapy, or the armed forces.",SM,,,,X,,,,,,HP,5,11,1
HP211,UNIFIED PARTNERS INTERNSHIP,Prerequisite: Application Process to be approved by Physical Education staff.,"In this program peer tutors will be paired with students with special needs in a Unified Fitness and Wellness class. This program will give regular education students the opportunities for hands-on experiences in the teaching process. They will learn more about individual learning styles and knowledge of various disabilities. Expectations for peer tutors include assisting student athletes with special needs as well as the physical education teachers, recording reflections about their experiences, and following special education teachers’ support and tips about working with their special education partner.",SM,,,,X,,,,X,,HP,5,11,1
HP212,WATER SAFETY INTERNSHIP,Prerequisite: Application Process to be approved by Physical Education staff.,Water Safety Internship is for students with a valid lifeguarding certification. Students will gain practical experience by lifeguarding various physical education classes and help to ensure a safe environment. Students will also assist the teacher with the demonstration of concepts and/or basic swimming instruction. Students should be prepared to swim or participate in every class.,SM,,,,X,,,,X,,HP,5,11,1
RD111,POPULAR CONTEMPORARY LITERATURE,No prerequisite,"This course is designed with a specific emphasis on critical analysis skills. Students will read self-selected materials and high-interest teacher-assigned literary works from a wide variety of genres in the realm of adolescent and young adult literature. Students will interact with traditional print materials, as well as various technology-related tools to analyze and discuss their reading. A focus on critical thinking, active discussion, and comprehension strategies will allow students to foster their reading competence, as well as enhance their motivation to read.",SM,,,X,,X,,,X,X,RD,5,10,1
SC100,HONORS BIOLOGY,No prerequisite,"The ninth grade honors course in biology requires students to engage the major concepts of the life sciences on a deeper and expanded level. Areas of concentration include biochemistry, cellular structure and function, genetics, evolution, ecology, and taxonomy. Meeting six periods each week, the course includes a laboratory session consisting of two instructional periods. Taught at an accelerated pace, students must be responsible to complete significant reading assignments and master concepts quickly. Reading assignments prepare students for classroom lessons. The course requires students to complete a series of independent projects that expose students to a variety of topics in greater depth. Students also complete formal laboratory reports. The Biology Keystone Exam will be administered at the conclusion of this course.",YR,X,X,X,X,X,X,X,X,X,SC,10,9,2
SC101,BIOLOGY,No prerequisite,"The ninth grade course in biology expands on many of the concepts of the life sciences, which were introduced in Science 8. Students explore the areas of biochemistry, cellular structure and function, genetics, evolution, ecology, and taxonomy. Meeting six periods each week, the course includes a laboratory session consisting of two instructional periods. Reading and homework assignments augment and expand on concepts covered in class. The Biology Keystone Exam will be administered at the conclusion of this course.",YR,X,X,X,X,X,X,X,X,X,SC,10,9,1
SC110,HONORS CHEMISTRY,"Prerequisite: Biology or Honors Biology 
It is recommended that students have a good grasp of Algebra I concepts before taking Chemistry.","This course stresses experimentation and observation. Topics include: atomic theory, conservation laws, kinetic theory, atomic structure, periodic table, energy changes in chemical and nuclear reactions, equilibrium, oxidation-reduction, electro-magnetic radiation, molecular architecture, and carbon compounds. This course is recommended for students planning to take the SAT Subject Test in Chemistry. The course is not open to students who have taken Chemistry.",YR,X,X,X,X,X,X,X,X,X,SC,10,10,2
SC111,CHEMISTRY,"Prerequisite: Biology or Honors Biology 	 It is recommended that students have a good grasp of Algebra I concepts before taking Chemistry.",This course is the systematic study of the properties of common elements and their compounds. The student looks at the atomic structure of those compounds and makes a survey of their relationships to each other. The student learns the fundamental theories and principles involved in basic chemical reactions.,YR,X,X,X,X,X,X,X,X,X,SC,10,10,1
SC121,PHYSICS,Prerequisite: Chemistry or Honors Chemistry,"This is a problem solving and laboratory-oriented course. It includes the study of mechanics, light, electricity, heat, and some topics in modern physics.",YR,X,X,X,X,X,X,X,X,X,SC,10,11,1
SC122,ACTIVE PHYSICS,No prerequisite,"Active Physics students are introduced to physics concepts as they explore issues in transportation, communication, home, and sports. Students learn through small group discussions, laboratory investigations, and projects. Overall, the emphasis is on physics at the conceptual level, although students are routinely expected to use arithmetic and algebra in their individual responses. As they complete group and individual assignments, students make use of technology such as calculator-based laboratory equipment and computer spreadsheets.",YR,X,X,X,X,X,X,X,X,X,SC,10,11,1
SC500,ADVANCED PLACEMENT BIOLOGY,"Prerequisite: Biology or Honors Biology and Chemistry* or Honors Chemistry*
*Students can take Chemistry or Honors Chemistry concurrently with a teacher recommendation.","This course is taught at the college level and is designed to prepare the student for the Advanced Placement Biology examination. This is a six period a week class that has both a lecture and a lab component. AP Biology consists of extensive studies in biochemistry, cells, cellular energetics, genetics, evolution, diversity of organisms, structure and function of plants and animals, and ecology. Primary emphasis in the AP Biology course is on developing an understanding of concepts rather than on memorizing terms and technical details. Descriptive and experimental laboratory exercises will provide the maximum opportunity for students to learn a variety of skills and those facts, principles, and concepts of general biology covered in lectures, reading, and discussion. One-fourth to one-third of the course grade is derived from laboratory work.",YR,X,X,X,X,X,X,X,X,,SC,10,10,3
SC510,ADVANCED PLACEMENT CHEMISTRY,Prerequisite: Chemistry or Honors Chemistry,"This course undertakes thorough study of the underlying principles of chemistry. The first part of the course emphasizes such fundamentals as oxidation potential, equilibrium constant, kinetic-molecular theory, chemical bonds, and reaction kinetics. Later, making full use of principles already learned, a large body of descriptive material is drawn together. Students will be prepared to take the Advanced Placement Chemistry examination.",YR,X,X,X,X,X,X,X,X,X,SC,10,11,3
SC520,ADVANCED PLACEMENT ENVIRONMENTAL SCIENCE,Prerequisite: Biology or Honors Biology,"AP Environmental Science is a six-period per week course designed for the junior or senior student. Topics covered include cycling of matter and energy, as well as the interdependence of biota, atmosphere, geosphere and the activities of civilization. Additional topics include renewable and non-renewable resources, environmental quality, human population dynamics, consequences of environmental activities, risk-benefit analyses, environmental assessment, environmental regulations and environmental ethics. Laboratory investigations demonstrate real world applications of these issues. Course work demands both analytical skills and writing skills. The course prepares students to take the AP Environmental Science examination.",YR,,X,X,X,X,X,X,X,X,SC,10,11,3
SC530,ADVANCED PLACEMENT PHYSICS 1: ALGEBRA-BASED,Prerequisite: grade 11 or 12 and recommendation from instructor,"AP Physics 1: Algebra-Based is the equivalent to a first-semester college course in algebra-based physics. The course covers Newtonian mechanics (including rotational dynamics and angular momentum); work, energy, and power; and mechanical waves and sound. It will also introduce electric circuits.",YR,,,,,,,,,,SC,10,11,3
SC540,ADVANCED PLACEMENT PHYSICS 2: ALGEBRA-BASED,Prerequisite: AP Physics 1 or Physics and recommendation from instructor,AP Physics 2: Algebra-Based is the equivalent to a second-semester college course in algebra-based physics. The course covers fluid mechanics; thermodynamics; electricity and magnetism; optics; and atomic and nuclear physics.,YR,,,,,,,,,,SC,10,12,3
SC550,ADVANCED PLACEMENT PHYSICS C,Prerequisite: AP Physics 1 and completion of or concurrent enrollment in a calculus-based mathematics course,"This course is planned for students with a sound mathematics background. The course approaches the largest physical concepts in a fundamental way that involves mathematics, theoretical physics, and experimental work in the laboratory. College level mechanics and electromagnetism are studied plus selected topics of modern physics. Calculus is used in this course. Students are prepared to take the AP Physics C: Electricity and Magnetism and the AP Physics C: Mechanics Exams.",YR,,,,,,,,,,SC,10,12,3
SC131,ANATOMY / PHYSIOLOGY,Prerequisite: Biology or Honors Biology,"The purpose of this course is to provide students with a background in anatomy and physiology. The course includes the anatomy of the cat, and the physiology of the individual organ systems. A major portion of the course includes the dissection of an actual cat.",YR,,,,X,,,,,,SC,10,12,1
SC132,PRINCIPLES OF BIOMEDICAL SCIENCE,No prerequisite,"In this course students explore the vast range of careers in biomedical sciences from design and data analysis to outbreaks, clinical empathy, health promotion, and more. They develop not just technical skills, but also in-demand, transportable skills that they need to thrive in life and career. This is a Project Lead the Way (PLTW) Biomedical Science course.",YR,,,,X,,,,,,SC,10,9,1
SC133,HUMAN BODY SYSTEMS,Prerequisite: Biology or Honors Biology,"In this course students examine the interactions of human body systems as they explore identity, power, movement, protection, and homeostasis. Exploring science in action, students build organs and tissues on a skeleton; use data acquisition software to monitor body functions such as muscle movement, reflex and voluntary action, and respiration; and take on the roles of biomedical professionals to solve real-world medical cases. This is a Project Lead the Way (PLTW) Biomedical Science course.",YR,,,,X,,,,,,SC,10,10,1
SC134,PHYSICS OF FLIGHT,"Prerequisite: Any Senior who has passed Active Physics, Physics, or Advanced Placement Physics","In this course students will investigate the nature of flight. They will learn the parts of an airplane, the factors that affect flight, and the history of modern flight. During the semester, students complete several hand-on projects including constructing rubber band airplanes and designing balsa wood gliders.",SM,,,,,,,X,,,SC,5,12,1
SC135,ASTRONOMY,No prerequisite,"The purpose of this course is to provide students with an overview of a broad array of astronomy topics. This course introduces students to lunar phases, constellations, major bodies of the solar system, the Milky Way galaxy and more. A recurring theme throughout the course is the evolution of objects. The formation, evolution, and demise of stars, solar systems, galaxies, and the Universe are studied. Astrobiology, the search for extraterrestrial life, and black holes are additional topics that are briefly discussed in this course.",SM,,,,,,,X,,,SC,5,11,1
SC136,ENGINEERING ESSENTIALS,Prerequisite: Algebra I,"In this course students dig deep into the engineering design process, applying math, science, and engineering standards to hands-on projects. They work both individually and in teams to design solutions to a variety of problems using 3-D modeling software, and use an engineering notebook to document their work. This is a Project Lead the Way (PLTW) Engineering course.",YR,,X,,,,X,X,,,SC,10,9,1
SC137,PRINCIPLES OF ENGINEERING,"Prerequisite: Algebra I 
It is recommended but not required that students take Engineering Essentials as an introduction to this course.","In this course students explore a broad range of engineering topics including mechanisms, strength of structure and materials, and automation, and then they apply what they know to take on challenges like designing a self-powered car. This is a Project Lead the Way (PLTW) Engineering course.",YR,,X,,,,X,X,,,SC,10,10,1
SC138,FORENSIC SCIENCE,Prerequisite: Biology or Honors Biology and Chemistry or Honors Chemistry,"This semester course utilizes lecture, extensive laboratory activities, scientific literature/case study analysis, and demonstrations in a forensic context and will allow students to apply scientific methodology to develop writing, problem solving and critical thinking skills in a biological context. This course directly utilizes the key concepts of the areas of cellular biology, genetics, ecology and physiology. Inquiry based laboratory investigations and analysis play a central role in the course. Students will apply the foundations of biology to solve mock criminal investigations using a wide range of laboratory techniques to process and analyze criminal evidence. Topics covered will include: crime scene analysis, physical/chemical analysis of various evidence types, advanced microscopy, chromatography, fingerprint comparison, blood typing (serology) and DNA analysis.",SM,,,X,X,,,,X,,SC,5,12,1
SC139,PHYSICS OF MECHANICAL ROBOTS,"Prerequisite: Any student who has passed Active Physics, Physics, or AP Physics I","This introductory Robotics course will cover the mechanical and electrical systems involved in basic robot functions. Students will investigate robot configuration and degrees of freedom through the study of rigid body motions, kinematics, and forces. Analog and digital circuit design and construction will also be explored. This course will include building an underwater robot for the SeaPerch Challenge Competition.",SM,,X,,,,,X,,,SC,5,11,1
SC141,PHYSICS OF AUTOMATED ROBOTS,"Prerequisite: Any student who has passed Active Physics, Physics, or AP Physics I","In this course, students will investigate the automation systems that govern robot control. Students will conduct experiments exploring the use of sensors, logic gates, and variable voltage systems. Reverse engineering of automatic processes will be studied to understand the programming requirements for commanding robots. This course will include building a robot for the FIRST Robotics Competition.",SM,,X,,,,,X,,,SC,5,11,1
APSM,ADVANCED PLACEMENT SEMINAR,Prerequisite: Open to students entering grades 10 and 11,"In this interdisciplinary course, students investigate real-world issues from multiple perspectives, gathering and analyzing information from multiple sources in order to develop, communicate, and defend credible and valid evidence-based arguments presented through written essays, oral presentations, and visual presentations, both individually and as part of a team. The course is designed to challenge students to think critically about complex issues and make connections across disciplines. Advanced Placement Seminar is a prerequisite for Advanced Placement Research. In Advanced Placement Research, students will independently design, plan, and conduct a yearlong research-based investigation on a topic of individual interest.",YR,X,X,X,X,X,,X,X,X,,10,10,3
APRS,ADVANCED PLACEMENT RESEARCH,"Prerequisite: Advanced Placement Seminar, including all assessment components of the course.","This course is the second of two courses in the College Board’s Advanced Placement Capstone Program. Students enrolled in Advanced Placement Research will explore an academic topic, problem, issue, or idea of individual interest. Students may dig deeper into a topic studied in another course, work across academic areas on an interdisciplinary topic, or study a new area of interest, perhaps one related to a potential career field.
Students will design, plan, and conduct a yearlong investigation to address a research question. Through this inquiry, they will further develop the skills acquired in Advanced Placement Seminar by learning research methodology, employing ethical research practices, and accessing, analyzing, and synthesizing information. Students will document their research and curate artifacts of their work in a process and reflection portfolio. Advanced Placement Research culminates in students writing an academic paper of 4,000-5,000 words, presenting their research findings, and completing an oral defense.",YR,X,X,X,X,X,,X,X,X,,10,10,3
WL111,FRENCH I,No prerequisite,"This course begins the development of the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). Students will learn to communicate about personal information, such as: self, family, friends, likes/dislikes, school, pastimes, as well as the basics like numbers, alphabet, weather, etc. Students will be immersed in the language in the classroom. The class progresses at a moderate pace to keep the students’ comfort level high in their attempts to communicate in a new language. A student at this level is expected to perform at the low to mid novice level, understanding and producing language in familiar and rehearsed situations. Texts and other ancillary materials focus on themes for daily communication.",YR,X,,X,X,X,,X,X,X,FL,10,9,1
WL120,FRENCH II HONORS,Prerequisite: Level I French,"This Honors course focuses on the study of thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the high novice to low intermediate level: communication in expanded responses on everyday topics with an increase in accuracy. Students will learn to communicate about self and others while stretching into themes about the world around them. This course is designed for motivated students who have mastery of the basics in the language. Students will be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,9,2
WL121,FRENCH II,Prerequisite: Level I French,"This course continues the study of language in thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the mid novice level: understanding and producing more language in familiar and rehearsed situations. Students will learn to communicate about self and others, about the basic themes of pastimes, community, health, etc. as well as a solid review of the basics. Students will be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,9,1
WL130,FRENCH III HONORS,Prerequisite: Level II or Level II Honors French,"This Honors course focuses on the study of thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the low intermediate to mid intermediate level: able to create with language related to daily life and can recombine learned material to express personal meaning. Students will learn to communicate about self and themes about the world around them at paragraph length and in original context. Authentic resources for the interpretive mode focus on non-fiction and short fiction texts with literacy support. This course is designed for motivated students who have mastery of the fundamentals of the language. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,10,2
WL131,FRENCH III,Prerequisite: Level II or Level II Honors French,"This course continues the study of language in thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the high novice to low intermediate level: understanding and producing more language in familiar and rehearsed situations, beginning to expand into original contexts from learned material. Students will learn to communicate about self and others about the basic themes and moving into themes about social issues and customs. Authentic resources for the interpretive mode focus on non-fiction and short fiction texts with literacy support. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,10,1
WL140,FRENCH IV HONORS,Prerequisite: Level III or Level III Honors French,"In this pre-AP course, the focus is on the study of thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the high intermediate level: able to communicate with ease and confidence within routine tasks and social situations in expanding contexts and response length. The interpretive mode (reading and listening) is practiced with authentic nonfiction and fiction texts with literacy support. Students will need to support their opinion with knowledge, experience, details, etc. from the interpretive sources. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,11,2
WL141,FRENCH IV,Prerequisite: Level III or Level III Honors French,"The focus is on the study of thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the low intermediate level: can begin to create with language related to daily life and can recombine learned material to express personal meaning. Students will learn to communicate about self and themes about the world around them at paragraph length and in original context. Authentic resources for the interpretive mode focus on non-fiction and short fiction texts with literacy support. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,11,1
WL151,FRENCH V,Prerequisite: Level IV or Level IV Honors French,"This course is a culminating course that focuses on preparing the student to use the language in authentic contexts. The focus is on the study of thematic units about the social, political and cultural influences in society today with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the mid to high intermediate level: able to communicate with ease and confidence within routine tasks and social situations in expanding contexts and response length. This course is designed for students who have achieved success in the fundamentals of language and who wish to use the language for career enhancement, for travel, or for further study. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,12,1
WL500,ADVANCED PLACEMENT FRENCH LANGUAGE AND CULTURE,Prerequisite: Level IV or Level IV Honors French,"The AP course is designed to prepare students to take the Language and Culture AP exam from the College Board. The course and exam are based on six themes: Families and Communities, Beauty and Aesthetics, Global Challenges, Science and Technology, Contemporary Life, and Personal and Public Identification. Students are expected to perform at the high intermediate or low to mid advanced level: recombine learned material to express personal meaning while speaking and writing at the paragraph level. The interpretive mode (reading and listening) is practiced with authentic nonfiction and fiction texts. The integrated performance task (reading and listening used as prompts for speaking and writing) is an essential skill developed in this course. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,12,3
WL220,GERMAN II HONORS,Prerequisite: Level I German,"This Honors course focuses on the study of thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the high novice to low intermediate level: communication in expanded responses on everyday topics with an increase in accuracy. Students will learn to communicate about self and others while stretching into themes about the world around them. This course is designed for motivated students who have mastery of the basics in the language. Students will be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,9,2
WL230,GERMAN III HONORS,Prerequisite: Level II Honors German,"This Honors course focuses on the study of thematic units with the emphasis on the three modes of communication: interpretive (listening and reading), interpersonal (two-way communication- listening and speaking, reading and writing) and presentational (speaking and writing to an audience). A student at this level is expected to perform at the low intermediate to mid intermediate level: able to create with language related to daily life and can recombine learned material to express personal meaning. Students will learn to communicate about self and themes about the world around them at paragraph length and in original context. Authentic resources for the interpretive mode focus on non-fiction and short fiction texts with literacy support. This course is designed for motivated students who have mastery of the fundamentals of the language. Students will continue to be immersed in the language in the classroom.",YR,X,,X,X,X,,X,X,X,FL,10,10,2
